county,mean_stars,mean_review_count,mean_is_open,mean_RestaurantsTableService,mean_BikeParking,mean_WiFi,mean_BusinessAcceptsCreditCards,mean_RestaurantsReservations,mean_WheelchairAccessible,mean_Caters,mean_OutdoorSeating,mean_RestaurantsGoodForGroups,mean_BusinessAcceptsBitcoin,max_stars,max_review_count,min_stars,min_review_count,county
Alachua,4.0,21.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.0,4.0,21.0,Alachua
Albemarle,2.5,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.0,2.5,6.0,Albemarle
Arapahoe,3.25,16.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,4.5,18.0,2.0,14.0,Arapahoe
Autauga,3.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,8.0,Autauga
Barnstable,4.25,10.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,3.5,5.0,Barnstable
Barrow,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,17.0,Barrow
Bastrop,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,Bastrop
Bayamn Municipio,4.5,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,9.0,4.5,9.0,Bayamn Municipio
Bexar,3.5,9.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,11.0,2.5,7.0,Bexar
Bibb,2.25,262.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,3.0,518.0,1.5,7.0,Bibb
Boulder,3.7761784245491934,43.2840873141411,0.7602024675735527,0.05726036064536539,0.4596646630813034,0.23283770958557418,0.7959506485289465,0.09585574185384373,0.17968997152799748,0.128124011388801,0.19171148370768745,0.21733628598544763,0.004428978171464726,5.0,1491.0,1.0,5.0,Boulder
Brevard,3.550561797752809,26.421348314606742,0.827247191011236,0.11095505617977527,0.42837078651685395,0.2794943820224719,0.7752808988764045,0.09831460674157304,0.16573033707865167,0.16573033707865167,0.17134831460674158,0.3300561797752809,0.0,5.0,816.0,1.0,5.0,Brevard
Bristol,2.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,15.0,Bristol
Broomfield,4.625,13.75,0.75,0.0,0.25,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,5.0,19.0,4.0,6.0,Broomfield
Broward,4.5,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0,4.5,6.0,Broward
