,business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,county,Unnamed: 0,review_id,user_id,stars_y,useful,funny,cool,text,date
0,OfNahccRfpKdacJVgOdMNw,Maquillage Pro Beauty,"7817 Rockwood Ln, Ste 322",Austin,Alabama,78757,30.3587472,-97.7381091,2.5,11,0,"{'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True'}","Tanning, Beauty & Spas","{'Monday': '10:0-14:0', 'Tuesday': '10:0-18:30', 'Wednesday': '10:0-18:30', 'Thursday': '10:0-18:30', 'Friday': '10:0-18:30'}",Travis,,,,,,,,,
1,u4T4jza3wutr5dOEWKWQNw,Aroma Sanctum Perfumes,5 Central St,Salem,Arizona,01970,42.5213642,-70.8936886,4.5,24,0,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'BusinessParking': 'None'}","Cosmetics & Beauty Supply, Skin Care, Beauty & Spas, Shopping","{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '12:0-17:0'}",Essex,,,,,,,,,
2,nn2_WkDglRzFef2YohnDaA,Grand Aesthetics by Donna,"15171 SW Bangy Rd, Ste 135",Lake Oswego,Arizona,97035,45.4158435,-122.7431493,3.5,30,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'True', 'BikeParking': 'True', 'GoodForKids': 'False'}","Hair Salons, Day Spas, Health & Medical, Tattoo Removal, Tattoo, Doctors, Eyebrow Services, Hair Removal, Beauty & Spas, Permanent Makeup, Skin Care, Nail Salons, Hair Loss Centers","{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0'}",Clackamas,,,,,,,,,
3,SNCRnaSy6E5fHgQuoCmmbQ,Katia Photography,,Portland,California,97007,45.4501529,-122.8849111,5.0,11,1,"{'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'""}","Shopping, Clothing Rental, Event Planning & Services, Fashion, Event Photography, Photographers, Session Photography","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",Washington,,,,,,,,,
4,cjwnQMQOGOYgB5uNmiYWLA,Verizon Authorized Retailer - GoWireless,"4655 SW Griffith Dr, Ste 125",Beaverton,California,97005,45.486312,-122.796487,2.5,9,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': 'None', 'ByAppointmentOnly': 'False', 'BikeParking': 'True'}","Mobile Phones, Telecommunications, Shopping, Home Services, IT Services & Computer Repair, Internet Service Providers, Local Services, Professional Services, Mobile Phone Accessories, Electronics","{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-18:0'}",Washington,,,,,,,,,
5,l92RJMHpxZgJl7FQuqpW6w,Here We Grow,,Atlanta,California,30345,33.8484195,-84.2858121,5.0,6,1,{'GoodForKids': 'True'},"Childbirth Education, Specialty Schools, Preschools, Adult Education, Parenting Classes, Education, Active Life, Kids Activities","{'Tuesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Saturday': '9:0-13:0', 'Sunday': '11:0-15:0'}",DeKalb,,,,,,,,,
6,GTfJipjaeicjMvZ7y-AjjQ,Disney Carribean Beach Resort,900 Cayman Way,Orlando,California,32830,28.362622,-81.541832,2.5,24,1,,"Beauty & Spas, Pet Adoption, Resorts, Hotels & Travel, Guest Houses, Skin Care, Pets","{'Monday': '9:0-21:30', 'Tuesday': '9:0-21:30', 'Wednesday': '9:0-21:30', 'Thursday': '9:0-21:30', 'Friday': '9:0-21:30', 'Saturday': '9:0-21:30', 'Sunday': '9:0-21:30'}",Orange,,,,,,,,,
7,rR8Txcf_ZmUV1TzqrWsIkw,Vain Spa,,Irvine,California,92606,45.421567,-122.6678382,5.0,5,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'False', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Skin Care, Tanning, Beauty & Spas, Spray Tanning, Eyelash Service","{'Monday': '9:0-12:0', 'Tuesday': '9:0-12:0', 'Wednesday': '9:0-12:0', 'Thursday': '9:0-12:0', 'Friday': '9:0-12:0'}",Orange,,,,,,,,,
8,4mASceBLv2dCuxCeKpsePQ,Diosa Dreads,,Portland,California,97206,45.4630112926,-122.5992508342,4.5,6,1,"{'HairSpecializesIn': ""{'straightperms': False, 'coloring': False, 'extensions': False, 'africanamerican': False, 'curly': False, 'kids': False, 'perms': False, 'asian': False}"", 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'False', 'WheelchairAccessible': 'False', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Hair Stylists, Hair Salons, Beauty & Spas","{'Monday': '0:0-0:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0'}",Multnomah,,,,,,,,,
9,8wouHFX93woNTDE9YXYsUQ,Kristen Beccia Photography,6005 Osceola Trail,Austin,California,78738,30.3247627,-98.0291097,4.5,15,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Session Photography, Pet Services, Event Photography, Party & Event Planning, Event Planning & Services, Wedding Planning, Pets, Pet Photography, Photographers","{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-12:0'}",Travis,,,,,,,,,
10,BAt03TGTq4V4371JUJRHmA,San Jose Jazz Summer Fesitval,Plaza De Cesar Chavez Park,San Jose,California,95113,28.433109,-81.469804,4.0,17,1,"{'OutdoorSeating': 'True', 'GoodForKids': 'True', 'Alcohol': ""'beer_and_wine'"", 'BikeParking': 'True', 'NoiseLevel': ""'loud'"", 'BusinessAcceptsCreditCards': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Nightlife, Music Venues, Festivals, Arts & Entertainment",,Santa Clara,,,,,,,,,
